OrderID,CustomerID,OrderDate,TotalAmount,Status
1,5220,2022-05-08 08:40:18,2898.08,Pending
2,11256,2024-01-01 09:34:52,301.25,Cancelled
3,17485,2022-10-13 12:29:19,1565.27,Pending
4,19775,2022-04-07 10:14:06,2716.10,Pending
5,17438,2024-03-07 00:03:41,2071.58,Shipped
6,11352,2024-08-04 22:37:40,1061.52,Cancelled
7,7786,2025-01-22 11:57:34,13.50,Paid
8,18994,2022-10-31 13:50:44,1113.51,Paid
9,3967,2023-11-05 15:04:16,13373.65,Paid
10,9081,2024-01-03 20:48:45,1607.96,Shipped
11,4423,2023-08-09 23:16:55,2746.56,Cancelled
12,6520,2023-07-07 11:44:32,1295.92,Pending
13,16219,2024-10-04 21:43:56,50.41,Paid
14,4972,2022-09-14 05:16:14,1391.19,Paid
15,13744,2023-08-09 12:22:15,194.85,Paid
16,11737,2025-01-18 03:53:26,4987.89,Paid
17,11761,2022-08-12 06:56:26,1336.81,Paid
18,17475,2023-04-07 16:20:53,4350.09,Paid
19,1683,2022-06-14 08:40:03,114.06,Shipped
20,4713,2023-05-29 19:14:26,13233.54,Shipped
21,1791,2023-11-17 12:54:26,616.70,Paid
22,13916,2024-12-19 18:35:38,2437.22,Pending
23,3214,2023-08-13 13:39:53,16789.10,Shipped
24,7665,2024-04-12 14:04:36,392.78,Shipped
25,13232,2024-05-07 19:29:28,1455.85,Shipped
26,6629,2024-03-24 17:31:49,3068.54,Pending
27,7858,2022-04-12 03:27:59,1558.34,Paid
28,11048,2023-02-21 22:39:15,519.16,Paid
29,4252,2025-04-03 16:46:05,4792.77,Paid
30,143,2025-04-01 21:48:42,958.36,Paid
31,3671,2022-09-16 19:01:45,361.89,Shipped
32,16370,2023-01-07 08:59:56,3849.37,Paid
33,18194,2024-10-05 23:09:45,5199.45,Shipped
34,5791,2025-02-21 19:42:22,2038.90,Shipped
35,13658,2022-08-03 02:42:57,7175.16,Paid
36,16589,2023-12-20 05:53:33,6848.04,Shipped
37,16449,2023-06-10 21:29:19,6037.70,Cancelled
38,4353,2024-09-19 02:28:27,1300.33,Paid
39,14426,2025-02-27 07:29:25,638.52,Paid
40,5023,2023-03-22 07:35:36,119.00,Shipped
41,5334,2023-07-03 23:59:30,870.56,Paid
42,18979,2023-11-22 06:47:14,1236.56,Shipped
43,10332,2022-03-26 02:25:58,1452.66,Shipped
44,14285,2022-08-21 19:56:29,2778.42,Shipped
45,9419,2024-07-22 13:19:55,434.02,Shipped
46,4214,2024-05-23 02:10:16,602.74,Pending
47,1612,2024-02-19 17:34:54,3164.00,Paid
48,4072,2022-01-21 03:28:50,2265.18,Paid
49,11,2024-01-30 13:45:34,1892.96,Paid
50,6357,2022-06-15 00:14:17,4316.90,Shipped
51,4141,2022-06-02 04:46:02,767.16,Shipped
52,7043,2022-11-11 07:50:07,15259.09,Shipped
53,15068,2024-10-01 00:22:58,120.51,Shipped
54,2340,2025-01-26 08:58:08,1893.10,Pending
55,7910,2024-08-07 04:48:16,479.22,Shipped
56,17776,2024-02-12 07:08:43,148.60,Paid
57,14615,2024-09-24 10:47:36,7584.19,Cancelled
